2025-10-11T16:38:27.000000000Z [inf]  Starting Container
2025-10-11T16:38:29.204129756Z [inf]  date        7d%  25d%  pos  equity   buy&hold
2025-10-11T16:38:29.204134983Z [inf]  2024-02-08   -1.0    1.4    0   1000.00   1001.74
2025-10-11T16:38:29.204139826Z [inf]  2024-02-09   -0.4    1.9    0   1000.00   1005.15
2025-10-11T16:38:29.204145632Z [inf]  2024-02-10   -1.1    2.5    0   1000.00   1050.22
2025-10-11T16:38:29.204151482Z [inf]  2024-02-11   -0.7    2.1    0   1000.00   1068.46
2025-10-11T16:38:29.204159550Z [inf]  2024-02-12    1.0    6.3    1   1000.00   1018.50
2025-10-11T16:38:29.204164609Z [inf]  2024-02-13    0.4    5.2    1   1000.00   1049.54
2025-10-11T16:38:29.204170390Z [inf]  2024-02-14    0.6    6.7    1   1000.00   1049.40
2025-10-11T16:38:29.204175825Z [inf]  2024-02-15    1.6    6.9    1   1000.00   1045.20
2025-10-11T16:38:29.204181463Z [inf]  2024-02-16    2.3    8.7    1   1000.00   1044.26
2025-10-11T16:38:29.204186904Z [inf]  2024-02-17    1.9    6.9    1   1000.00   1116.10
2025-10-11T16:38:29.204192573Z [inf]  2024-02-18    1.9    4.2    1   1000.00   1096.11
2025-10-11T16:38:29.204198971Z [inf]  2024-02-19    2.9   -0.4    0   1025.88   1109.04
2025-10-11T16:38:29.204203797Z [inf]  2024-02-20    2.4   -0.3    0   1025.88   1101.56
2025-10-11T16:38:29.204209260Z [inf]  2024-02-21    1.8   -0.7    0   1025.88   1017.02
2025-10-11T16:38:29.204215850Z [inf]  2024-02-22    1.5   -1.8    0   1025.88   1018.57
2025-10-11T16:38:29.204220841Z [inf]  2024-02-23   -0.1   -0.9   -1   1025.88    992.05
2025-10-11T16:38:29.204225788Z [inf]  2024-02-24   -0.9   -0.2   -1   1025.88   1010.56
2025-10-11T16:38:29.204231668Z [inf]  2024-02-25   -1.8   -0.6   -1   1025.88   1025.46
2025-10-11T16:38:29.204238261Z [inf]  2024-02-26   -2.2   -0.3   -1   1025.88   1016.86
2025-10-11T16:38:29.204243994Z [inf]  2024-02-27   -1.0    2.8    0   1027.60    982.42
2025-10-11T16:38:29.204250210Z [inf]  2024-02-28   -1.2    2.2    0   1027.60    990.30
2025-10-11T16:38:29.204256741Z [inf]  2024-02-29   -2.0    2.2    0   1027.60    991.18
2025-10-11T16:38:29.204262577Z [inf]  2024-03-01   -0.5    2.2    0   1027.60    988.43
2025-10-11T16:38:29.204268487Z [inf]  2024-03-02   -1.1    1.5    0   1027.60    940.60
2025-10-11T16:38:29.204275821Z [inf]  2024-03-03    0.3    1.3    1   1027.60    948.43
2025-10-11T16:38:29.204281392Z [inf]  2024-03-04    3.0    2.6    1   1027.60    952.88
2025-10-11T16:38:29.204287262Z [inf]  2024-03-05    3.9    2.6    1   1027.60    949.94
2025-10-11T16:38:29.204292967Z [inf]  2024-03-06    5.4    2.2    1   1027.60    994.21
2025-10-11T16:38:29.204299216Z [inf]  2024-03-07    5.9    1.5    1   1027.60   1001.28
2025-10-11T16:38:29.204304637Z [inf]  2024-03-08    4.1    1.9    1   1027.60    999.15
2025-10-11T16:38:29.204310543Z [inf]  2024-03-09    3.3    0.8    1   1027.60   1029.38
2025-10-11T16:38:29.204317378Z [inf]  2024-03-10    1.6    0.3    1   1027.60   1020.78
2025-10-11T16:38:29.204322655Z [inf]  2024-03-11    3.3    0.4    1   1027.60   1012.20
2025-10-11T16:38:29.204328488Z [inf]  2024-03-12    3.5    2.0    1   1027.60   1024.15
2025-10-11T16:38:29.204333786Z [inf]  2024-03-13    0.5    2.9    1   1027.60   1026.93
2025-10-11T16:38:29.204339981Z [inf]  2024-03-14   -0.9    3.5    0   1121.92   1022.44
2025-10-11T16:38:29.204345847Z [inf]  2024-03-15   -0.2    6.6    0   1121.92   1012.26
