2025-10-11T16:58:47.000000000Z [inf]  Starting Container
2025-10-11T16:58:48.522143620Z [inf]  Downloading full daily history from Binance …
2025-10-11T16:58:50.034773656Z [inf]  Saved 2978 rows to btc_daily_bin.csv
2025-10-11T16:58:50.080300075Z [inf]  date        6d%  10d%  pos  equity   buy&hold
2025-10-11T16:58:50.080305979Z [inf]  2024-03-02    0.5    1.1    1   1000.00   1007.10
2025-10-11T16:58:50.089978552Z [inf]  2024-03-03    2.2    1.6    1   1000.00   1004.96
2025-10-11T16:58:50.098927786Z [inf]  2024-03-04    3.2    1.2    1   1000.00   1035.37
2025-10-11T16:58:50.117628151Z [inf]  2024-03-05    3.4    1.8    1   1000.00   1026.72
2025-10-11T16:58:50.121713475Z [inf]  2024-03-06    4.2    3.6    1   1000.00   1018.09
2025-10-11T16:58:50.129757323Z [inf]  2024-03-07    3.5    4.6    1   1000.00   1030.11
2025-10-11T16:58:50.141282579Z [inf]  2024-03-08    1.6    4.7    1   1000.00   1032.91
2025-10-11T16:58:50.150454998Z [inf]  2024-03-09    0.2    4.2    1   1000.00   1028.40
2025-10-11T16:58:50.168436552Z [inf]  2024-03-10   -0.4    2.6    0   1085.19   1018.16
2025-10-11T16:58:50.172440178Z [inf]  2024-03-11    0.7    1.1    1   1085.19   1021.16
2025-10-11T16:58:50.180671316Z [inf]  2024-03-12   -0.1   -0.2    0   1094.80   1030.50
2025-10-11T16:58:50.192858702Z [inf]  2024-03-13   -1.8    0.8    0   1094.80   1060.40
2025-10-11T16:58:50.204015549Z [inf]  2024-03-14    0.1   -0.3    0   1094.80   1082.85
2025-10-11T16:58:50.213296490Z [inf]  2024-03-15   -0.8   -1.3   -1   1094.80   1126.94
2025-10-11T16:58:50.224038791Z [inf]  2024-03-16    1.2   -3.0    0    961.07   1141.73
2025-10-11T16:58:50.235711233Z [inf]  2024-03-17    0.3   -0.0    0    961.07   1154.85
2025-10-11T16:58:50.243378587Z [inf]  2024-03-18   -1.0   -1.8   -1    961.07   1193.52
2025-10-11T16:58:50.252930643Z [inf]  2024-03-19    0.7    0.6    0    864.52   1188.32
2025-10-11T16:58:50.265524509Z [inf]  2024-03-20    1.1    0.9    1    864.52   1238.42
2025-10-11T16:58:50.273596168Z [inf]  2024-03-21    2.6   -1.3    0    973.88   1240.45
2025-10-11T16:58:50.285614064Z [inf]  2024-03-22    1.8    2.7    1    973.88   1246.29
2025-10-11T16:58:50.296363795Z [inf]  2024-03-23    1.2    1.0    1    973.88   1234.78
2025-10-11T16:58:50.305540205Z [inf]  2024-03-24    0.8    3.2    1    973.88   1246.61
2025-10-11T16:58:50.315061192Z [inf]  2024-03-25    2.4    2.1    1    973.88   1237.93
2025-10-11T16:58:50.327775328Z [inf]  2024-03-26    2.5    2.2    1    973.88   1249.51
2025-10-11T16:58:50.337786670Z [inf]  2024-03-27    1.7    2.8    1    973.88   1239.72
2025-10-11T16:58:50.347334188Z [inf]  2024-03-28    2.7    3.7    1    973.88   1226.31
2025-10-11T16:58:50.356230993Z [inf]  2024-03-29    2.4    5.8    1    973.88   1213.29
2025-10-11T16:58:50.374983076Z [inf]  2024-03-30    4.5    4.4    0    909.92   1233.00
2025-10-11T16:58:50.377920437Z [inf]  2024-03-31    2.4    6.3    1    909.92   1236.84
2025-10-11T16:58:50.390221003Z [inf]  2024-04-01    2.9    6.4    1    909.92   1302.53
2025-10-11T16:58:50.400908067Z [inf]  2024-04-02    4.7    8.5    1    909.92   1363.76
2025-10-11T16:58:50.409088563Z [inf]  2024-04-03    2.6    7.2    1    909.92   1492.75
2025-10-11T16:58:50.418682483Z [inf]  2024-04-04    2.3    6.8    1    909.92   1461.64
2025-10-11T16:58:50.431230016Z [inf]  2024-04-05    2.5    7.0    1    909.92   1491.69
2025-10-11T16:58:50.442933951Z [inf]  2024-04-06    1.7    3.2    1    909.92   1482.12
2025-10-11T16:58:50.451118014Z [inf]  2024-04-07    2.0    4.7    1    909.92   1509.05
2025-10-11T16:58:50.463454042Z [inf]  2024-04-08    2.1    3.2    1    909.92   1631.75
2025-10-11T16:58:50.471335931Z [inf]  2024-04-09    0.9    2.7    1    909.92   1523.64
2025-10-11T16:58:50.481686703Z [inf]  2024-04-10    1.4    2.7    1    909.92   1579.83
2025-10-11T16:58:50.493683353Z [inf]  2024-04-11    1.8    3.0    1    909.92   1597.74
2025-10-11T16:58:50.528688245Z [inf]  2024-04-12    2.6    2.2    1    909.92   1628.85
2025-10-11T16:58:50.528693176Z [inf]  2024-04-13    2.5    3.5    1    909.92   1633.37
2025-10-11T16:58:50.528697031Z [inf]  2024-04-14    2.1    3.4    1    909.92   1648.73
2025-10-11T16:58:50.536378503Z [inf]  2024-04-15    0.8    5.1    1    909.92   1723.39
2025-10-11T16:58:50.543243581Z [inf]  2024-04-16    3.4    2.7    1    909.92   1708.42
2025-10-11T16:58:50.555559433Z [inf]  2024-04-17    2.8    4.0    1    909.92   1747.16
2025-10-11T16:58:50.567956860Z [inf]  2024-04-18    2.9    3.9    1    909.92   1706.91
2025-10-11T16:58:50.573640566Z [inf]  2024-04-19    3.8    4.5    1    909.92   1661.74
2025-10-11T16:58:50.589259893Z [inf]  2024-04-20    2.8    4.7    1    909.92   1561.34
2025-10-11T16:58:50.597443697Z [inf]  2024-04-21    1.4    3.5    1    909.92   1635.29
2025-10-11T16:58:50.605561045Z [inf]  2024-04-22    1.0    4.4    1    909.92   1616.55
2025-10-11T16:58:50.616406890Z [inf]  2024-04-23    1.6    2.8    1    909.92   1480.92
2025-10-11T16:58:50.625686556Z [inf]  2024-04-24    1.3    2.3    1    909.92   1622.07
2025-10-11T16:58:50.638304983Z [inf]  2024-04-25    0.5    1.3    1    909.92   1566.14
2025-10-11T16:58:50.647570364Z [inf]  2024-04-26    1.3    3.3    1    909.92   1525.38
2025-10-11T16:58:50.659901673Z [inf]  2024-04-27    1.2    2.0    1    909.92   1530.00
2025-10-11T16:58:50.666363257Z [inf]  2024-04-28    1.9    3.6    1    909.92   1606.99
2025-10-11T16:58:50.678928766Z [inf]  2024-04-29    1.6    3.9    1    909.92   1670.83
2025-10-11T16:58:50.687572679Z [inf]  2024-04-30    1.5    3.6    1    909.92   1673.41
2025-10-11T16:58:50.698467434Z [inf]  2024-05-01    2.3    3.4    1    909.92   1661.03
2025-10-11T16:58:50.710904454Z [inf]  2024-05-02    0.8    3.8    1    909.92   1692.36
2025-10-11T16:58:50.719215903Z [inf]  2024-05-03    0.6    2.0    1    909.92   1670.13
2025-10-11T16:58:50.730305179Z [inf]  2024-05-04   -0.5    2.9    0   1877.69   1663.71
2025-10-11T16:58:50.739405953Z [inf]  2024-05-05    1.0    0.2    1   1877.69   1704.30
2025-10-11T16:58:50.752346483Z [inf]  2024-05-06   -0.1    1.4    0   2015.13   1665.33
2025-10-11T16:58:50.760668555Z [inf]  2024-05-07    1.1   -0.7    0   2015.13   1565.24
2025-10-11T16:58:50.771966947Z [inf]  2024-05-08    1.0    0.9    1   2015.13   1577.18
2025-10-11T16:58:50.781826434Z [inf]  2024-05-09    1.0    1.0    1   2015.13   1637.54
2025-10-11T16:58:50.793919345Z [inf]  2024-05-10    0.9    2.1    1   2015.13   1621.59
2025-10-11T16:58:50.801963175Z [inf]  2024-05-11    2.6    2.0    1   2015.13   1647.30
2025-10-11T16:58:50.819255459Z [inf]  2024-05-12    1.9    3.1    1   2015.13   1658.41
2025-10-11T16:58:50.823078720Z [inf]  2024-05-13    0.3    2.8    1   2015.13   1712.43
2025-10-11T16:58:50.835421979Z [inf]  2024-05-14   -0.5    2.0    0   2583.62   1653.28
2025-10-11T16:58:50.842395271Z [inf]  2024-05-15    1.0    2.3    1   2583.62   1688.79
2025-10-11T16:58:50.860616077Z [inf]  2024-05-16    1.6   -0.5    0   2750.09   1673.85
2025-10-11T16:58:50.863897187Z [inf]  2024-05-17    0.8    1.2    1   2750.09   1604.76
2025-10-11T16:58:50.874126867Z [inf]  2024-05-18   -0.6    1.6    0   2409.54   1528.43
